Week_Start_Date,Year,Week,ED Trolleys
01-01-2024,2024,1,1676
08-01-2024,2024,2,1689
15-01-2024,2024,3,1860
22-01-2024,2024,4,1910
29-01-2024,2024,5,1603
05-02-2024,2024,6,1900
12-02-2024,2024,7,1704
19-02-2024,2024,8,1664
26-02-2024,2024,9,1628
04-03-2024,2024,10,1582
11-03-2024,2024,11,1700
18-03-2024,2024,12,1632
25-03-2024,2024,13,1513
01-04-2024,2024,14,1801
08-04-2024,2024,15,1885
15-04-2024,2024,16,1737
22-04-2024,2024,17,1483
29-04-2024,2024,18,1399
06-05-2024,2024,19,1303
13-05-2024,2024,20,1506
20-05-2024,2024,21,1465
27-05-2024,2024,22,1468
03-06-2024,2024,23,1500
10-06-2024,2024,24,1625
17-06-2024,2024,25,1525
24-06-2024,2024,26,1561
01-07-2024,2024,27,1298
08-07-2024,2024,28,1348
15-07-2024,2024,29,1339
22-07-2024,2024,30,1322
29-07-2024,2024,31,1168
05-08-2024,2024,32,1309
12-08-2024,2024,33,1038
19-08-2024,2024,34,1003
26-08-2024,2024,35,1162
02-09-2024,2024,36,1136
09-09-2024,2024,37,1311
16-09-2024,2024,38,1514
23-09-2024,2024,39,1514
30-09-2024,2024,40,1768
07-10-2024,2024,41,1493
14-10-2024,2024,42,1442
21-10-2024,2024,43,1182
28-10-2024,2024,44,1316
04-11-2024,2024,45,1684
11-11-2024,2024,46,1514
18-11-2024,2024,47,1529
25-11-2024,2024,48,1880
02-12-2024,2024,49,1759
09-12-2024,2024,50,1705
16-12-2024,2024,51,1570
23-12-2024,2024,52,705
31-12-2024,2024,53,552
30-12-2024,2025,1,1119
06-01-2025,2025,2,2109
13-01-2025,2025,3,1889
20-01-2025,2025,4,1881
27-01-2025,2025,5,1993
03-02-2025,2025,6,1982
10-02-2025,2025,7,1709
17-02-2025,2025,8,1834
24-02-2025,2025,9,1642
03-03-2025,2025,10,1369
10-03-2025,2025,11,1150
17-03-2025,2025,12,985
24-03-2025,2025,13,1372
31-03-2025,2025,14,1249
07-04-2025,2025,15,1033
14-04-2025,2025,16,1228
21-04-2025,2025,17,1156
28-04-2025,2025,18,971
05-05-2025,2025,19,976
12-05-2025,2025,20,1045
19-05-2025,2025,21,1078
26-05-2025,2025,22,1084
02-06-2025,2025,23,1050
09-06-2025,2025,24,1042
16-06-2025,2025,25,1114
23-06-2025,2025,26,1121
30-06-2025,2025,27,1003
07-07-2025,2025,28,944
14-07-2025,2025,29,1055
21-07-2025,2025,30,1064
28-07-2025,2025,31,1035
04-08-2025,2025,32,995
11-08-2025,2025,33,1218
18-08-2025,2025,34,1199
25-08-2025,2025,35,1306
01-09-2025,2025,36,1303
08-09-2025,2025,37,1224
15-09-2025,2025,38,1238
22-09-2025,2025,39,1074
29-09-2025,2025,40,1267
06-10-2025,2025,41,1282
13-10-2025,2025,42,1054
20-10-2025,2025,43,1074
27-10-2025,2025,44,1193
03-11-2025,2025,45,1476
10-11-2025,2025,46,1254
17-11-2025,2025,47,1047
24-11-2025,2025,48,1447
01-12-2025,2025,49,1597
08-12-2025,2025,50,1628
15-12-2025,2025,51,1040
22-12-2025,2025,52,332
31-12-2025,2025,53,310
29-12-2025,2026,1,401
05-01-2026,2026,2,1837
12-01-2026,2026,3,1925
19-01-2026,2026,4,1761
26-01-2026,2026,5,1577
02-02-2026,2026,6,1804
09-02-2026,2026,7,1823
16-02-2026,2026,8,1436
23-02-2026,2026,9,1610
02-03-2026,2026,10,1560
09-03-2026,2026,11,1422
16-03-2026,2026,12,1279
23-03-2026,2026,13,1597
30-03-2026,2026,14,1410
06-04-2026,2026,15,1476
13-04-2026,2026,16,1849
20-04-2026,2026,17,1500
27-04-2026,2026,18,1198
04-05-2026,2026,19,1260
11-05-2026,2026,20,1485
18-05-2026,2026,21,1395
25-05-2026,2026,22,1141
